,address,metro,mt_dist,parking,rooms,floor_bld,floor,square,price_p_m,price,lat,lng
11195,"Москва, Уральская улица, 4, Гольяново, Москва",Щелковская,237.0,False,1.0,9.0,8.0,32.5,923.0,30000.0,55.8118223,37.8007031
11196,"Подсосенский пер., 3, Басманный, Москва",Курская,633.0,True,7.0,3.0,3.0,920.0,3261.0,3000000.0,55.7590795,37.6504458
11197,"Москва, Широкая улица, 3к1, Северное Медведково, Москва",Медведково,553.0,True,2.0,14.0,10.0,50.0,860.0,43000.0,55.8894689,37.6547021
11198,"Москва, Широкая улица, 1к1, Северное Медведково, Москва",Медведково,675.0,True,3.0,9.0,8.0,59.0,1102.0,65000.0,55.8882959,37.6516939
11199,"Москва, проспект Защитников Москвы, 8, Некрасовка, Москва",Лермонтовский проспект,4400.0,False,1.0,17.0,8.0,38.0,789.0,30000.0,55.7002288,37.9211863
11200,"Москва, Южнобутовская улица, 77, Южное Бутово, Москва",Бунинская аллея,805.0,False,1.0,13.0,6.0,43.0,814.0,35000.0,55.5338351,37.5268287
11201,"Пресненская наб, 8с1, Пресненский, Москва",Деловой центр,214.0,False,3.0,72.0,25.0,185.0,3243.0,600000.0,55.7480754,37.5402587
11202,"Москва, 3-я Красногвардейская улица, 3, Пресненский, Москва",Шелепиха,695.0,False,3.0,25.0,21.0,97.0,1443.0,140000.0,55.7563912,37.5369899
11203,"Москва, улица Орджоникидзе, 1, Донской, Москва",Шаболовская,905.0,False,2.0,18.0,2.0,80.0,2625.0,210000.0,55.7109586,37.6053061
11204,"Москва, улица Красного Маяка, 13к2, Чертаново Центральное, Москва",Пражская,1400.0,False,2.0,9.0,6.0,54.0,648.0,35000.0,55.608968,37.58467479999999
11205,"Москва, 3-я Хорошёвская улица, 19А, Хорошёво-Мнёвники, Москва",Зорге,688.0,False,3.0,23.0,11.0,61.0,2131.0,130000.0,55.784702,37.496697
11206,"Москва, улица Маршала Конева, 14, Щукино, Москва",Октябрьское поле,550.0,True,4.0,25.0,17.0,180.0,1667.0,300000.0,55.79552839999999,37.48577909999999
11207,"Москва, улица Золоторожский Вал, 8, Лефортово, Москва",Площадь Ильича,639.0,True,2.0,10.0,9.0,41.0,2927.0,120000.0,55.7519073,37.6859282
11208,"Москва, улица Золоторожский Вал, 8, Лефортово, Москва",Площадь Ильича,639.0,True,1.0,10.0,9.0,35.0,2286.0,80000.0,55.7519073,37.6859282
11209,"Россия, Москва, улица Бехтерева, 43к2, Царицыно, Москва",Царицыно,1500.0,False,2.0,12.0,12.0,44.0,977.0,43000.0,55.6171726,37.64570870000001
11210,"Москва, бульвар Генерала Карбышева, 15, Хорошёво-Мнёвники, Москва",Октябрьское поле,2000.0,True,2.0,30.0,11.0,50.0,2200.0,110000.0,55.7818945,37.4697634
11211,"Москва, 13-я Парковая улица, 16А, Восточное Измайлово, Москва",Первомайская,1000.0,True,1.0,18.0,16.0,40.0,950.0,38000.0,55.7991402,37.8126042
11212,"Москва, Ленинградский проспект, 2, Беговой, Москва",Белорусская,139.0,False,3.0,9.0,4.0,138.0,1449.0,200000.0,55.7787091,37.5828056
11213,"Москва, Олимпийский проспект, 10к2, Мещанский, Москва",Цветной бульвар,668.0,True,3.0,12.0,9.0,135.0,1185.0,160000.0,55.777555,37.6228749
11214,"Москва, Кировоградская улица, 16к1, Чертаново Центральное, Москва",Южная,363.0,True,2.0,12.0,12.0,48.0,790.0,37900.0,55.6210193,37.60792199999999
11215,"Москва, 3-я Тверская-Ямская улица, 52, Тверской, Москва",Белорусская,616.0,True,2.0,9.0,8.0,77.0,1429.0,110000.0,55.7751548,37.5911168
11216,"Москва, Сеченовский переулок, 3, Хамовники, Москва",Парк культуры,643.0,True,3.0,7.0,3.0,162.0,3086.0,500000.0,55.740576,37.596426
